182.253.238.235 - - [24/Aug/2025:05:05:52 +0700] "POST /admin/index.php HTTP/1.0" 404 1645 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.2 Safari/605.1.15"
182.253.238.235 - - [24/Aug/2025:05:05:52 +0700] "GET /admin/dashboard.php HTTP/1.0" 404 1645 "-" "Mozilla/5.0 (CentOS; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36"
182.253.238.235 - - [24/Aug/2025:05:05:57 +0700] "POST /wp-admin/admin-ajax.php?action=check_country_selector HTTP/1.0" 404 1645 "-" "Mozilla/5.0 (ZZ; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
182.4.102.163 - - [24/Aug/2025:05:33:42 +0700] "GET / HTTP/1.0" 302 4315 "https://www.google.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36"
182.4.102.163 - - [24/Aug/2025:05:33:42 +0700] "GET /login HTTP/1.0" 200 1792 "https://www.google.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36"
182.4.102.163 - - [24/Aug/2025:05:33:42 +0700] "GET /assets/vendor/fontawesome-free/css/all.min.css HTTP/2.0" 200 12062 "https://simlitabmas.unjaya.ac.id/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36"
182.4.102.163 - - [24/Aug/2025:05:33:42 +0700] "GET /assets/css/sb-admin-2.min.css HTTP/2.0" 200 27885 "https://simlitabmas.unjaya.ac.id/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36"
182.4.102.163 - - [24/Aug/2025:05:33:42 +0700] "GET /assets/vendor/jquery/jquery.min.js HTTP/2.0" 200 30351 "https://simlitabmas.unjaya.ac.id/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36"
182.4.102.163 - - [24/Aug/2025:05:33:42 +0700] "GET /assets/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/2.0" 200 22291 "https://simlitabmas.unjaya.ac.id/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36"
182.4.102.163 - - [24/Aug/2025:05:33:42 +0700] "GET /assets/vendor/jquery-easing/jquery.easing.min.js HTTP/2.0" 200 817 "https://simlitabmas.unjaya.ac.id/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36"
182.4.102.163 - - [24/Aug/2025:05:33:42 +0700] "GET /assets/js/sb-admin-2.min.js HTTP/2.0" 200 582 "https://simlitabmas.unjaya.ac.id/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36"
182.4.102.163 - - [24/Aug/2025:05:33:43 +0700] "GET /assets/img/lppm1.jpg HTTP/2.0" 200 38919 "https://simlitabmas.unjaya.ac.id/assets/css/sb-admin-2.min.css" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36"
182.4.102.163 - - [24/Aug/2025:05:33:43 +0700] "GET /assets/img/favicon.ico HTTP/2.0" 200 5503 "https://simlitabmas.unjaya.ac.id/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36"
182.4.102.163 - - [24/Aug/2025:05:33:43 +0700] "GET /assets/img/favicon.ico HTTP/2.0" 200 5503 "https://workona.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36"
34.96.47.107 - - [24/Aug/2025:05:33:44 +0700] "GET / HTTP/1.0" 302 469 "-" "PostmanRuntime/7.19.0"
34.96.47.107 - - [24/Aug/2025:05:33:44 +0700] "GET / HTTP/1.0" 302 818 "-" "PostmanRuntime/7.19.0"
34.96.47.107 - - [24/Aug/2025:05:33:45 +0700] "GET /login HTTP/1.0" 200 1920 "-" "PostmanRuntime/7.19.0"
34.96.47.107 - - [24/Aug/2025:05:33:45 +0700] "GET /assets/img/favicon.ico HTTP/1.1" 200 5516 "-" "PostmanRuntime/7.19.0"
38.43.64.52 - - [24/Aug/2025:05:33:55 +0700] "GET /login HTTP/1.0" 200 1920 "https://www.google.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36"
38.43.64.52 - - [24/Aug/2025:05:33:56 +0700] "GET /assets/vendor/fontawesome-free/css/all.min.css HTTP/2.0" 200 12062 "https://simlitabmas.unjaya.ac.id/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36"
